Year,SOURCE_DETAIL,SDG Series,Sex,Unit of measure,Source details,Value
1995,"Adhoc Collection of National Criminal Justice Data as collected in 2013 by UNODC, referred to as UNODC Special Data Collection","Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,8.38
1996,"Adhoc Collection of National Criminal Justice Data as collected in 2013 by UNODC, referred to as UNODC Special Data Collection","Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,8.59
1997,"Adhoc Collection of National Criminal Justice Data as collected in 2013 by UNODC, referred to as UNODC Special Data Collection","Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,8.86
2007,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,8.97
2008,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,9.18
2009,National Police,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,10.29
2010,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,9.74
2011,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,11.21
2012,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,11.77
2013,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,10.81
2014,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,12.12
2016,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,11.3
2017,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,11.5
2018,National Police,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,10.52
2019,UNODC Research,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,10.66
2020,UNODC Research,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,"Per 100,000 population",UNODC Research,9.75
2008,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),2.49
2010,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),3.63
2011,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),4.36
2012,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),4.21
2013,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),4.35
2014,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),4.48
2016,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),4.52
2017,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Female,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),3.99
2008,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),16.1
2010,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),16.09
2011,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),18.33
2012,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),19.61
2013,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),17.5
2014,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),20.04
2016,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),18.32
2017,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),"Number of victims of intentional homicide per 100,000 population [16.1.1]",Male,"Per 100,000 population",National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),19.27
1995,"Adhoc Collection of National Criminal Justice Data as collected in 2013 by UNODC, referred to as UNODC Special Data Collection",Number of victims of intentional homicide [16.1.1],,Number,UNODC Research,1710.0
1996,"Adhoc Collection of National Criminal Justice Data as collected in 2013 by UNODC, referred to as UNODC Special Data Collection",Number of victims of intentional homicide [16.1.1],,Number,UNODC Research,1806.0
1997,"Adhoc Collection of National Criminal Justice Data as collected in 2013 by UNODC, referred to as UNODC Special Data Collection",Number of victims of intentional homicide [16.1.1],,Number,UNODC Research,1919.0
2007,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),Number of victims of intentional homicide [16.1.1],,Number,UNODC Research,2645.0
2008,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),Number of victims of intentional homicide [16.1.1],,Number,UNODC Research,2793.0
2009,National Police,Number of victims of intentional homicide [16.1.1],,Number,UNODC Research,3233.0
2010,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),Number of victims of intentional homicide [16.1.1],,Number,UNODC Research,3160.0
