Year,SDG Series,Value
2005,Non-performing loans to total gross loans (%) [10.5.1],1.50718
2006,Non-performing loans to total gross loans (%) [10.5.1],1.96058
2007,Non-performing loans to total gross loans (%) [10.5.1],2.84783
2008,Non-performing loans to total gross loans (%) [10.5.1],1.6788
2009,Non-performing loans to total gross loans (%) [10.5.1],3.34137
2010,Non-performing loans to total gross loans (%) [10.5.1],1.86158
2011,Non-performing loans to total gross loans (%) [10.5.1],2.03895
2012,Non-performing loans to total gross loans (%) [10.5.1],4.05585
2013,Non-performing loans to total gross loans (%) [10.5.1],5.88584
2014,Non-performing loans to total gross loans (%) [10.5.1],4.01833
2015,Non-performing loans to total gross loans (%) [10.5.1],5.12696
2016,Non-performing loans to total gross loans (%) [10.5.1],10.40131
2017,Non-performing loans to total gross loans (%) [10.5.1],5.50578
2018,Non-performing loans to total gross loans (%) [10.5.1],3.3357
2019,Non-performing loans to total gross loans (%) [10.5.1],4.74998
2020,Non-performing loans to total gross loans (%) [10.5.1],5.21587
2005,Return on assets (%) [10.5.1],4.74575
2006,Return on assets (%) [10.5.1],4.70158
2007,Return on assets (%) [10.5.1],5.07637
2008,Return on assets (%) [10.5.1],4.90275
2009,Return on assets (%) [10.5.1],3.94707
2010,Return on assets (%) [10.5.1],3.60851
2011,Return on assets (%) [10.5.1],5.19564
2012,Return on assets (%) [10.5.1],5.3076
2013,Return on assets (%) [10.5.1],3.11948
2014,Return on assets (%) [10.5.1],3.57766
2015,Return on assets (%) [10.5.1],3.61293
2016,Return on assets (%) [10.5.1],2.41391
2017,Return on assets (%) [10.5.1],3.85083
2018,Return on assets (%) [10.5.1],3.60739
2019,Return on assets (%) [10.5.1],3.96767
2020,Return on assets (%) [10.5.1],3.18902
2005,Regulatory capital to assets (%) [10.5.1],9.48333
2006,Regulatory capital to assets (%) [10.5.1],10.00379
2007,Regulatory capital to assets (%) [10.5.1],9.45469
2008,Regulatory capital to assets (%) [10.5.1],11.87021
2009,Regulatory capital to assets (%) [10.5.1],12.07964
2010,Regulatory capital to assets (%) [10.5.1],11.33823
2011,Regulatory capital to assets (%) [10.5.1],12.83479
2012,Regulatory capital to assets (%) [10.5.1],12.73266
2013,Regulatory capital to assets (%) [10.5.1],12.33188
2014,Regulatory capital to assets (%) [10.5.1],12.96254
2015,Regulatory capital to assets (%) [10.5.1],13.0391
2016,Regulatory capital to assets (%) [10.5.1],11.69436
2017,Regulatory capital to assets (%) [10.5.1],13.80647
2018,Regulatory capital to assets (%) [10.5.1],13.90159
2019,Regulatory capital to assets (%) [10.5.1],13.66882
2020,Regulatory capital to assets (%) [10.5.1],13.37171
2005,Non-performing loans net of provisions to capital (%) [10.5.1],2.54478
2006,Non-performing loans net of provisions to capital (%) [10.5.1],6.07152
