Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Income or wealth quantile,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2016,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population covered by at least one social protection benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,2.9
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population covered by at least one social protection benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,2.8
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of mothers with newborns receiving maternity cash benefit [1.3.1],Female,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,5.3
2000,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,1.0
2016,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,6.6
2017,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,7.8
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,11.2
2005,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,9.84116
2009,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,6.46921
2012,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,60.47231
2016,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.6422
2005,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,13.03608
2009,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,5.10233
2012,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,75.68675
2016,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.45552
2005,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.96311
2009,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.86109
2012,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.88112
2016,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,,0.5696
2005,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2009,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,Obs_Value = 0;  ,0.00906
2012,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,Obs_Value = 0;  ,0.01562
2016,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",,Obs_Value = 0;  ,0.02743
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Obs_Value = 0;  No unemployment protection programme anchored in national legislation,Obs_Value = 0;  No unemployment protection programme anchored in national legislation,0.0
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Female,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Obs_Value = 0;  No unemployment protection programme anchored in national legislation,Obs_Value = 0;  No unemployment protection programme anchored in national legislation,0.0
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Male,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Obs_Value = 0;  No unemployment protection programme anchored in national legislation,Obs_Value = 0;  No unemployment protection programme anchored in national legislation,0.0
2016,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,0.6
2020,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,1.2
2019,E,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),Proportion of employed population covered in the event of work injury [1.3.1],,,Estimated,Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,16.0
