Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2000,47.7,31.5,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,39.3
2001,46.3,31.4,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,38.6
2002,45.3,31.1,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,37.9
2003,44.4,30.7,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,37.3
2004,43.6,30.1,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,36.7
2005,43,29.5,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,36.0
2006,42.2,28.9,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,35.1
2007,41.2,28.1,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,34.3
2008,40.1,27.3,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,33.4
2009,39.2,26.6,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,32.6
2010,38.4,26,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,32.0
2011,37.8,25.6,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,31.5
2012,37.5,25.6,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,31.3
2013,37.4,25.5,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,31.2
2014,37.6,25.5,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,31.3
2015,38,25.3,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,31.5
2016,38.9,25.2,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,31.7
2017,40.4,24.7,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,32.0
2018,41.9,23.9,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,32.4
2019,43.9,23.3,Proportion of women aged 15-49 years with anaemia [2.2.3],43.9,23.3,32.8
2000,47.6,29.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,38.2
2001,46.1,29.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,37.5
2002,45,29.6,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,36.9
2003,43.9,29,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,36.2
2004,43.2,28.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,35.6
2005,42.5,28,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,34.9
2006,41.5,27.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,34.1
2007,40.6,26.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,33.2
2008,39.4,25.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,32.4
2009,38.6,25.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,31.6
2010,37.5,24.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,30.9
2011,37,24.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,30.4
2012,36.9,24.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,30.2
2013,36.8,24.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,30.2
2014,37.1,24.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,30.3
2015,37.5,24.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,30.6
2016,38.6,23.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,30.9
2017,40,23.6,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,31.2
2018,41.8,22.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,31.6
2019,43.8,22.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",43.8,22.2,32.1
2000,51.1,38.5,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,45.4
2001,50.4,38.4,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,44.9
2002,49.7,38.3,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",47.6,29,44.5
