Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Observation-level footnotes,COMMENT_OBS,Value
1980,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-6.64222
1981,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,1.89946
1982,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.20995
1983,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.2244
1984,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,2.86377
1985,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,0.13063
1986,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.10284
1987,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.78659
1988,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.99911
1989,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.91844
