Year,SOURCE_DETAIL,SDG Series,Value
2006,"DHS 2006. UNFPA Global Database, 2022.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",48.0
2011,"DHS 2011. UNFPA Global Database, 2022.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",49.0
2016,"DHS 2016. UNFPA Global Database, 2022.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",62.0
2006,"DHS 2006. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],90.0
2011,"DHS 2011. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],89.4
2016,"DHS 2016. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],92.6
2006,"DHS 2006. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],62.8
2011,"DHS 2011. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],61.7
2016,"DHS 2016. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],75.4
2006,"DHS 2006. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],82.3
2011,"DHS 2011. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],88.6
2016,"DHS 2016. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],86.9
