Year,COMMENT_OBS,SDG Series,Unit of measure,Observation-level footnotes,BASE_PER,Base period,Value
2000,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2001,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2002,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2003,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,18.1
2004,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2005,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,95.83
2006,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,256.8
2007,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,871.8
2008,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,160.0
2009,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,118.0
2010,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2011,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2012,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,34.0
2013,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2014,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2015,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,45.4
2016,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,64.04
2017,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,19.3
2018,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2019,,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,87.0
2020,Obs_Value = 0;  ,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD nominal [17.17.1]",USD,Obs_Value = 0;  ,,,0.0
2000,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,0.0
2001,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,0.0
2002,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,"Amount of United States dollars committed to public-private partnerships for infrastructure, USD real [17.17.1]",Constant USD,Obs_Value = 0.0000;  Zero means there is no PPI investment captured in the year,2020,2020,0.0
