Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,6.7,1.2,,3.7,0.6,3.2
2005,6.4,1.2,,3.7,0.6,3.1
2010,5.2,1,,3.7,0.6,2.4
2015,4.3,0.7,,3.7,0.6,1.9
2019,3.7,0.6,,3.7,0.6,1.7
2000,4.7,0.8,Female,2.9,0.4,2.2
2005,4.8,0.8,Female,2.9,0.4,2.2
2010,3.9,0.7,Female,2.9,0.4,1.8
2015,3.2,0.5,Female,2.9,0.4,1.4
2019,2.9,0.4,Female,2.9,0.4,1.2
2000,8.8,1.7,Male,4.7,0.8,4.3
2005,7.9,1.7,Male,4.7,0.8,4.0
2010,6.5,1.3,Male,4.7,0.8,3.1
2015,5.3,1,Male,4.7,0.8,2.5
2019,4.7,0.8,Male,4.7,0.8,2.2
