Year,UNIT_MULT,NATURE,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Upper bound value,Lower bound value,Source details,Value
2015,0,CA,"The observation represents the 3-year average of the period 2014-2016. For years when official national data are not available, the values are projected using FAO data or estimates",65.9,60.9,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",75,70.1,National Entity,63.4
2016,0,CA,"The observation represents the 3-year average of the period 2015-2017. For years when official national data are not available, the values are projected using FAO data or estimates",71.9,66.9,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",75,70.1,National Entity,69.4
2017,0,CA,"The observation represents the 3-year average of the period 2016-2018. For years when official national data are not available, the values are projected using FAO data or estimates",77.3,72.4,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",75,70.1,National Entity,74.8
2018,0,CA,"The observation represents the 3-year average of the period 2017-2019. For years when official national data are not available, the values are projected using FAO data or estimates",77,72.1,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",75,70.1,National Entity,74.5
2019,0,CA,"The observation represents the 3-year average of the period 2018-2020. For years when official national data are not available, the values are projected using FAO data or estimates",75.3,70.4,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",75,70.1,National Entity,72.9
2020,0,CA,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",75,70.1,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",75,70.1,National Entity,72.5
2015,0,G,The observation represents the 3-year average of the period 2014-2016.,68.9,62.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,78.3,71.9,Food and Agriculture Organization of the United Nations (FAO),65.7
2016,0,G,The observation represents the 3-year average of the period 2015-2017.,75.1,68.6,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,78.3,71.9,Food and Agriculture Organization of the United Nations (FAO),71.9
2017,0,G,The observation represents the 3-year average of the period 2016-2018.,80.7,74.2,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,78.3,71.9,Food and Agriculture Organization of the United Nations (FAO),77.5
2018,0,G,The observation represents the 3-year average of the period 2017-2019.,80.3,73.9,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,78.3,71.9,Food and Agriculture Organization of the United Nations (FAO),77.1
2019,0,G,The observation represents the 3-year average of the period 2018-2020.,78.6,72.2,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,78.3,71.9,Food and Agriculture Organization of the United Nations (FAO),75.4
2020,0,G,The observation represents the 3-year average of the period 2019-2021.,78.3,71.9,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,78.3,71.9,Food and Agriculture Organization of the United Nations (FAO),75.1
2015,0,G,The observation represents the 3-year average of the period 2014-2016.,73.5,65.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,83.5,75.3,Food and Agriculture Organization of the United Nations (FAO),69.4
2016,0,G,The observation represents the 3-year average of the period 2015-2017.,80.1,71.9,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,83.5,75.3,Food and Agriculture Organization of the United Nations (FAO),76.0
2017,0,G,The observation represents the 3-year average of the period 2016-2018.,86,77.8,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,83.5,75.3,Food and Agriculture Organization of the United Nations (FAO),81.9
2018,0,G,The observation represents the 3-year average of the period 2017-2019.,85.6,77.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,83.5,75.3,Food and Agriculture Organization of the United Nations (FAO),81.5
2019,0,G,The observation represents the 3-year average of the period 2018-2020.,83.8,75.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,83.5,75.3,Food and Agriculture Organization of the United Nations (FAO),79.8
2020,0,G,The observation represents the 3-year average of the period 2019-2021.,83.5,75.3,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,83.5,75.3,Food and Agriculture Organization of the United Nations (FAO),79.4
2015,3,CA,"The observation represents the 3-year average of the period 2014-2016. For years when official national data are not available, the values are projected using FAO data or estimates",25217.4,23319.6,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",34295.5,32028.7,National Entity,24268.5
2016,3,CA,"The observation represents the 3-year average of the period 2015-2017. For years when official national data are not available, the values are projected using FAO data or estimates",28520.4,26552.1,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",34295.5,32028.7,National Entity,27536.2
2017,3,CA,"The observation represents the 3-year average of the period 2016-2018. For years when official national data are not available, the values are projected using FAO data or estimates",31837.1,29794.3,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",34295.5,32028.7,National Entity,30815.7
2018,3,CA,"The observation represents the 3-year average of the period 2017-2019. For years when official national data are not available, the values are projected using FAO data or estimates",32899.7,30780.6,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",34295.5,32028.7,National Entity,31840.2
2019,3,CA,"The observation represents the 3-year average of the period 2018-2020. For years when official national data are not available, the values are projected using FAO data or estimates",33340.2,31145.8,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",34295.5,32028.7,National Entity,32243.0
2020,3,CA,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",34295.5,32028.7,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",34295.5,32028.7,National Entity,33162.1
2015,3,G,The observation represents the 3-year average of the period 2014-2016.,7138.3,6470.4,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9991.9,9169.8,Food and Agriculture Organization of the United Nations (FAO),6804.3
2016,3,G,The observation represents the 3-year average of the period 2015-2017.,8110.4,7414.1,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9991.9,9169.8,Food and Agriculture Organization of the United Nations (FAO),7762.2
2017,3,G,The observation represents the 3-year average of the period 2016-2018.,9093.2,8366.7,Food and Agriculture Organization of the United Nations (FAO),Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,9991.9,9169.8,Food and Agriculture Organization of the United Nations (FAO),8730.0
