Year,COMMENT_OBS,Sex,Occupation,Value
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,,1652.98
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,,2114.34
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Armed forces occupations,1953.99
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Armed forces occupations,1713.94
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Managers,4946.71
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Managers,4741.66
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Professionals,2898.43
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Professionals,4289.36
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Technicians and associate professionals,2234.44
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Technicians and associate professionals,3138.24
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Clerical support workers,2342.18
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Clerical support workers,2051.91
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Service and sales workers,934.08
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Service and sales workers,1232.75
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,"Skilled agricultural, forestry and fishery workers",1572.88
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,"Skilled agricultural, forestry and fishery workers",664.07
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Craft and related trades workers,2185.98
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Craft and related trades workers,1967.34
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,"Plant and machine operators, and assemblers",1830.87
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,"Plant and machine operators, and assemblers",1822.89
2012,Repository: ILO-STATISTICS - Micro data processing | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Elementary occupations,1098.76
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Local currency: UGA - Ugandan shilling(UGX) | Break in series: Methodology revised,,Elementary occupations,982.19
