Year,SDG Series,Type of product,Value
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.37322
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.63687
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,4.06804
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,4.22313
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.64668
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.62961
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.63428
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.62594
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.82215
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.73856
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.7724
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.78269
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,3.79054
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,3.42249
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,3.91735
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.67037
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.66335
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.29221
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.28428
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.28019
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.27206
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.76588
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.20146
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.26256
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.28884
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,4.29661
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,12.09833
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.84254
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.74774
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.74774
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.7476
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.7475
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.75492
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.6802
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.67898
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.53231
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.67955
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.67962
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,10.67953
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.85229
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,2.96175
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,3.34516
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,3.6042
