Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,17.72,12.4632,,14.7449,10.3083,15.23914
2005,17.1316,12.0015,,14.7449,10.3083,14.30846
2010,17.8762,12.4895,,14.7449,10.3083,15.26916
2015,15.2865,10.6284,,14.7449,10.3083,12.98749
2019,14.7449,10.3083,,14.7449,10.3083,12.48312
2000,7.42392,5.15328,Female,5.97549,4.11174,6.26569
2005,7.16784,4.98134,Female,5.97549,4.11174,5.90218
2010,7.63941,5.2699,Female,5.97549,4.11174,6.32521
2015,6.2579,4.2552,Female,5.97549,4.11174,5.16065
2019,5.97549,4.11174,Female,5.97549,4.11174,4.93795
2000,29.1894,20.4415,Male,24.675,17.3066,24.81911
2005,28.2086,19.8105,Male,24.675,17.3066,23.29061
2010,29.53,20.6417,Male,24.675,17.3066,24.95684
2015,25.6966,17.8392,Male,24.675,17.3066,21.48617
2019,24.675,17.3066,Male,24.675,17.3066,20.61092
