Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Disability status,Value
2002,"Data reference period: Noncalendar year | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Unemployment definition: Two criteria (not in employment and currently available) | Nonstandard age group: Including ages 10-14",Source: HIES - National Household Survey,Unemployment rate [8.5.2],,15 years old and over,,3.5
2003,Age coverage - minimum age: 10 years old,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,3.6
2005,"Data reference period: Noncalendar year | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Unemployment definition: Two criteria (not in employment and currently available) | Nonstandard age group: Including ages 10-14",Source: HIES - National Household Survey,Unemployment rate [8.5.2],,15 years old and over,,1.9
2009,"Data reference period: Noncalendar year | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Unemployment definition: Two criteria (not in employment and currently available) | Nonstandard age group: Including ages 10-14",Source: HIES - National Household Survey,Unemployment rate [8.5.2],,15 years old and over,,3.6
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,3.6
2013,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 14 years old | Age coverage - maximum age: 64 years old | Nonstandard age group: Including age 14,Source: HIES - National Household Survey,Unemployment rate [8.5.2],,15 years old and over,,1.9
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,10.1
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,2.8
2013,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 14 years old | Age coverage - maximum age: 64 years old,Source: HIES - National Household Survey,Unemployment rate [8.5.2],,25 years old and over,,1.5
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,7.9
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,5.4
2013,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 14 years old | Age coverage - maximum age: 64 years old | Nonstandard age group: Including age 14,Source: HIES - National Household Survey,Unemployment rate [8.5.2],,15 to 24 years old,,2.6
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,15.6
2002,"Data reference period: Noncalendar year | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Unemployment definition: Two criteria (not in employment and currently available) | Nonstandard age group: Including ages 10-14",Source: HIES - National Household Survey,Unemployment rate [8.5.2],Female,15 years old and over,,4.2
2003,Age coverage - minimum age: 10 years old,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,4.5
2005,"Data reference period: Noncalendar year | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Unemployment definition: Two criteria (not in employment and currently available) | Nonstandard age group: Including ages 10-14",Source: HIES - National Household Survey,Unemployment rate [8.5.2],Female,15 years old and over,,2.1
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,4.3
2013,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 14 years old | Age coverage - maximum age: 64 years old | Nonstandard age group: Including age 14,Source: HIES - National Household Survey,Unemployment rate [8.5.2],Female,15 years old and over,,2.4
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,11.9
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,3.6
2013,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 14 years old | Age coverage - maximum age: 64 years old,Source: HIES - National Household Survey,Unemployment rate [8.5.2],Female,25 years old and over,,2.0
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,9.5
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,6.0
2013,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 14 years old | Age coverage - maximum age: 64 years old | Nonstandard age group: Including age 14,Source: HIES - National Household Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,3.2
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,17.6
2002,"Data reference period: Noncalendar year | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Unemployment definition: Two criteria (not in employment and currently available) | Nonstandard age group: Including ages 10-14",Source: HIES - National Household Survey,Unemployment rate [8.5.2],Male,15 years old and over,,2.6
2003,Age coverage - minimum age: 10 years old,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,2.7
2005,"Data reference period: Noncalendar year | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Unemployment definition: Two criteria (not in employment and currently available) | Nonstandard age group: Including ages 10-14",Source: HIES - National Household Survey,Unemployment rate [8.5.2],Male,15 years old and over,,1.7
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,2.9
2013,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 14 years old | Age coverage - maximum age: 64 years old | Nonstandard age group: Including age 14,Source: HIES - National Household Survey,Unemployment rate [8.5.2],Male,15 years old and over,,1.4
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,8.7
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Source: LFS - National Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,2.1
2013,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 14 years old | Age coverage - maximum age: 64 years old,Source: HIES - National Household Survey,Unemployment rate [8.5.2],Male,25 years old and over,,1.0
