Year,SOURCE_DETAIL,SDG Series,Value
2002,Uganda - National Household Survey 2002-2003- World Bank SHES serie,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],9.57046
2005,Uganda - National Household Survey 2005-2006- World Bank SHES serie,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],20.29677
2009,Uganda - National Household Survey 2009-2010- World Bank SHES serie,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],16.77242
2012,Uganda - National Household Survey 2012-2013,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],15.73578
2016,Uganda National Household Survey 2016,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],15.27061
2002,Uganda - National Household Survey 2002-2003- World Bank SHES serie,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],0.73994
2005,Uganda - National Household Survey 2005-2006- World Bank SHES serie,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],2.19778
2009,Uganda - National Household Survey 2009-2010- World Bank SHES serie,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],1.41856
2012,Uganda - National Household Survey 2012-2013,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],3.58705
2016,Uganda National Household Survey 2016,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],3.77239
