Year,SDG Series,Sex,Age,Degree of urbanisation,Value
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,15 years old and over,,14.58333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,15 years old and over,Rural,14.16667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,15 years old and over,Urban,15.83333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,65 years old and over,,10.83333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,65 years old and over,Rural,11.25
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,65 years old and over,Urban,8.75
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,15 to 24 years old,,15.0
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,15 to 24 years old,Rural,14.58333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,15 to 24 years old,Urban,15.83333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,25 to 44 years old,,15.83333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,25 to 44 years old,Rural,15.41667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,25 to 44 years old,Urban,17.91667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,45 to 54 years old,,13.33333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,45 to 54 years old,Rural,12.91667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,45 to 54 years old,Urban,14.58333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,55 to 64 years old,,13.75
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,55 to 64 years old,Rural,12.91667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Female,55 to 64 years old,Urban,16.66667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,15 years old and over,,7.5
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,15 years old and over,Rural,6.66667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,15 years old and over,Urban,8.75
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,65 years old and over,,5.83333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,65 years old and over,Rural,5.83333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,65 years old and over,Urban,3.33333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,15 to 24 years old,,6.66667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,15 to 24 years old,Rural,6.66667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,15 to 24 years old,Urban,7.5
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,25 to 44 years old,,7.91667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,25 to 44 years old,Rural,7.5
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,25 to 44 years old,Urban,9.58333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,45 to 54 years old,,7.5
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,45 to 54 years old,Rural,6.66667
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,45 to 54 years old,Urban,9.58333
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,55 to 64 years old,,7.5
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,55 to 64 years old,Rural,7.5
2018,Proportion of time spent on unpaid domestic chores and care work [5.4.1],Male,55 to 64 years old,Urban,7.91667
2018,Proportion of time spent on unpaid care work [5.4.1],Female,15 years old and over,,3.75
2018,Proportion of time spent on unpaid care work [5.4.1],Female,15 years old and over,Rural,3.75
2018,Proportion of time spent on unpaid care work [5.4.1],Female,15 years old and over,Urban,4.16667
2018,Proportion of time spent on unpaid care work [5.4.1],Female,65 years old and over,,2.91667
2018,Proportion of time spent on unpaid care work [5.4.1],Female,65 years old and over,Rural,2.91667
2018,Proportion of time spent on unpaid care work [5.4.1],Female,65 years old and over,Urban,2.91667
2018,Proportion of time spent on unpaid care work [5.4.1],Female,15 to 24 years old,,4.16667
2018,Proportion of time spent on unpaid care work [5.4.1],Female,15 to 24 years old,Rural,4.16667
2018,Proportion of time spent on unpaid care work [5.4.1],Female,15 to 24 years old,Urban,4.16667
2018,Proportion of time spent on unpaid care work [5.4.1],Female,25 to 44 years old,,4.16667
2018,Proportion of time spent on unpaid care work [5.4.1],Female,25 to 44 years old,Rural,4.16667
2018,Proportion of time spent on unpaid care work [5.4.1],Female,25 to 44 years old,Urban,4.58333
2018,Proportion of time spent on unpaid care work [5.4.1],Female,45 to 54 years old,,2.5
2018,Proportion of time spent on unpaid care work [5.4.1],Female,45 to 54 years old,Rural,2.5
2018,Proportion of time spent on unpaid care work [5.4.1],Female,45 to 54 years old,Urban,2.5
2018,Proportion of time spent on unpaid care work [5.4.1],Female,55 to 64 years old,,2.5
2018,Proportion of time spent on unpaid care work [5.4.1],Female,55 to 64 years old,Rural,2.08333
2018,Proportion of time spent on unpaid care work [5.4.1],Female,55 to 64 years old,Urban,4.16667
2018,Proportion of time spent on unpaid care work [5.4.1],Male,15 years old and over,,2.91667
2018,Proportion of time spent on unpaid care work [5.4.1],Male,15 years old and over,Rural,2.5
2018,Proportion of time spent on unpaid care work [5.4.1],Male,15 years old and over,Urban,3.75
2018,Proportion of time spent on unpaid care work [5.4.1],Male,65 years old and over,,1.25
2018,Proportion of time spent on unpaid care work [5.4.1],Male,65 years old and over,Rural,1.25
2018,Proportion of time spent on unpaid care work [5.4.1],Male,65 years old and over,Urban,0.41667
2018,Proportion of time spent on unpaid care work [5.4.1],Male,15 to 24 years old,,2.08333
2018,Proportion of time spent on unpaid care work [5.4.1],Male,15 to 24 years old,Rural,2.08333
2018,Proportion of time spent on unpaid care work [5.4.1],Male,15 to 24 years old,Urban,3.33333
2018,Proportion of time spent on unpaid care work [5.4.1],Male,25 to 44 years old,,2.91667
2018,Proportion of time spent on unpaid care work [5.4.1],Male,25 to 44 years old,Rural,2.91667
2018,Proportion of time spent on unpaid care work [5.4.1],Male,25 to 44 years old,Urban,3.75
2018,Proportion of time spent on unpaid care work [5.4.1],Male,45 to 54 years old,,4.16667
2018,Proportion of time spent on unpaid care work [5.4.1],Male,45 to 54 years old,Rural,3.33333
2018,Proportion of time spent on unpaid care work [5.4.1],Male,45 to 54 years old,Urban,5.41667
2018,Proportion of time spent on unpaid care work [5.4.1],Male,55 to 64 years old,,2.08333
2018,Proportion of time spent on unpaid care work [5.4.1],Male,55 to 64 years old,Rural,2.5
2018,Proportion of time spent on unpaid care work [5.4.1],Male,55 to 64 years old,Urban,2.5
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 years old and over,,10.83333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 years old and over,Rural,10.41667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 years old and over,Urban,11.66667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,65 years old and over,,7.91667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,65 years old and over,Rural,8.33333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,65 years old and over,Urban,5.83333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 to 24 years old,,10.83333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 to 24 years old,Rural,10.41667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,15 to 24 years old,Urban,11.66667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,25 to 44 years old,,11.66667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,25 to 44 years old,Rural,11.25
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,25 to 44 years old,Urban,13.33333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,45 to 54 years old,,10.83333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,45 to 54 years old,Rural,10.41667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,45 to 54 years old,Urban,12.08333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,55 to 64 years old,,11.25
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,55 to 64 years old,Rural,10.83333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Female,55 to 64 years old,Urban,12.5
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 years old and over,,4.58333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 years old and over,Rural,4.16667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 years old and over,Urban,5.0
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,65 years old and over,,4.58333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,65 years old and over,Rural,4.58333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,65 years old and over,Urban,2.91667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 to 24 years old,,4.58333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 to 24 years old,Rural,4.58333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,15 to 24 years old,Urban,4.16667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,25 to 44 years old,,5.0
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,25 to 44 years old,Rural,4.58333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,25 to 44 years old,Urban,5.83333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,45 to 54 years old,,3.33333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,45 to 54 years old,Rural,3.33333
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,45 to 54 years old,Urban,4.16667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,55 to 64 years old,,5.41667
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,55 to 64 years old,Rural,5.0
2018,Proportion of time spent on unpaid domestic chores [5.4.1],Male,55 to 64 years old,Urban,5.41667
