Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Unit of measure,Upper bound value,Lower bound value,Value
2000,16.8,5.8,Suicide mortality rate [3.4.2],,"Per 100,000 population",7.3,2.7,10.2
2005,15.7,5.5,Suicide mortality rate [3.4.2],,"Per 100,000 population",7.3,2.7,9.7
2010,10,3.8,Suicide mortality rate [3.4.2],,"Per 100,000 population",7.3,2.7,6.3
2015,7.4,2.8,Suicide mortality rate [3.4.2],,"Per 100,000 population",7.3,2.7,4.7
2019,7.3,2.7,Suicide mortality rate [3.4.2],,"Per 100,000 population",7.3,2.7,4.6
2000,8,2.4,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",2.8,1,4.5
2005,7.6,2.3,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",2.8,1,4.3
2010,4.4,1.4,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",2.8,1,2.6
2015,2.7,1,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",2.8,1,1.7
2019,2.8,1,Suicide mortality rate [3.4.2],Female,"Per 100,000 population",2.8,1,1.7
2000,25.8,9.2,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",12,4.5,16.0
2005,24.1,8.9,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",12,4.5,15.2
2010,15.9,6.3,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",12,4.5,10.2
2015,12.2,4.8,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",12,4.5,7.8
2019,12,4.5,Suicide mortality rate [3.4.2],Male,"Per 100,000 population",12,4.5,7.6
2000,3963,1362,Number of deaths attributed to suicide [3.4.2],,Number,3234,1203,2403.0
2005,4354,1528,Number of deaths attributed to suicide [3.4.2],,Number,3234,1203,2673.0
2010,3257,1232,Number of deaths attributed to suicide [3.4.2],,Number,3234,1203,2054.0
2015,2814,1084,Number of deaths attributed to suicide [3.4.2],,Number,3234,1203,1786.0
2019,3234,1203,Number of deaths attributed to suicide [3.4.2],,Number,3234,1203,2033.0
2000,957,286,Number of deaths attributed to suicide [3.4.2],Female,Number,624,215,538.0
2005,1062,317,Number of deaths attributed to suicide [3.4.2],Female,Number,624,215,604.0
2010,724,236,Number of deaths attributed to suicide [3.4.2],Female,Number,624,215,427.0
2015,532,191,Number of deaths attributed to suicide [3.4.2],Female,Number,624,215,329.0
2019,624,215,Number of deaths attributed to suicide [3.4.2],Female,Number,624,215,378.0
2000,3006,1076,Number of deaths attributed to suicide [3.4.2],Male,Number,2610,988,1865.0
2005,3292,1211,Number of deaths attributed to suicide [3.4.2],Male,Number,2610,988,2069.0
2010,2533,996,Number of deaths attributed to suicide [3.4.2],Male,Number,2610,988,1627.0
2015,2282,892,Number of deaths attributed to suicide [3.4.2],Male,Number,2610,988,1457.0
2019,2610,988,Number of deaths attributed to suicide [3.4.2],Male,Number,2610,988,1655.0
