Year,COMMENT_OBS,Sex,Economic activity,Value
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,,91.7
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,,,89.2
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,"Agriculture, forestry and fishing",96.0
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,,"Agriculture, forestry and fishing",94.3
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,Non-agriculture,83.2
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,,Non-agriculture,85.0
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Female,,94.1
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Female,,90.3
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Female,"Agriculture, forestry and fishing",97.3
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Female,"Agriculture, forestry and fishing",93.9
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Female,Non-agriculture,86.2
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Female,Non-agriculture,87.0
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Male,,89.6
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Male,,88.4
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Male,"Agriculture, forestry and fishing",94.8
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Male,"Agriculture, forestry and fishing",94.6
2012,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Male,Non-agriculture,81.3
2017,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Male,Non-agriculture,83.5
