Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Source details,Value
2000,African Development Bank Group Annual Report 2000,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.2987
2005,African Development Bank Group Annual Report 2005,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.2987
2010,African Development Bank Group Annual Report 2010,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.2987
2014,African Development Bank Group Annual Report 2014,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.26582
2015,African Development Bank Group Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.25
2016,African Development Bank Group Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.25
2017,African Development Bank Group Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.25
2018,African Development Bank Group Annual Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.25
2019,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.25
2015,Report of the Economic and Social Council for 2015 (A/70/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2017 Session (A/72/3),1.85185
2016,Report of the Economic and Social Council on its 2016 Session (A/71/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2017 Session (A/72/3),1.85185
2017,Report of the Economic and Social Council on its 2017 Session (A/72/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2017 Session (A/72/3),1.85185185185185
2000,The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.54945
2005,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.54348
2010,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.53476
2015,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.53191
2016,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",0.53191
