Year,SDG Series,Sex,Value
2010,Average income of large-scale food producers [2.3.2],,1781.0988
2011,Average income of large-scale food producers [2.3.2],,1315.3002
2012,Average income of large-scale food producers [2.3.2],,1180.963
2014,Average income of large-scale food producers [2.3.2],,1448.1693
2016,Average income of large-scale food producers [2.3.2],,1001.0134
2020,Average income of large-scale food producers [2.3.2],,1080.013
2010,Average income of large-scale food producers [2.3.2],Female,1547.6079
2011,Average income of large-scale food producers [2.3.2],Female,1096.7416
2012,Average income of large-scale food producers [2.3.2],Female,969.08215
2014,Average income of large-scale food producers [2.3.2],Female,1171.6205
2016,Average income of large-scale food producers [2.3.2],Female,804.70612
2020,Average income of large-scale food producers [2.3.2],Female,913.6803
2010,Average income of large-scale food producers [2.3.2],Male,1853.1375
2011,Average income of large-scale food producers [2.3.2],Male,1384.4539
2012,Average income of large-scale food producers [2.3.2],Male,1265.4113
2014,Average income of large-scale food producers [2.3.2],Male,1539.942
2016,Average income of large-scale food producers [2.3.2],Male,1077.5133
2020,Average income of large-scale food producers [2.3.2],Male,1147.573
2010,Average income of small-scale food producers [2.3.2],,677.5
2011,Average income of small-scale food producers [2.3.2],,675.63
2012,Average income of small-scale food producers [2.3.2],,667.99
2014,Average income of small-scale food producers [2.3.2],,565.33
2016,Average income of small-scale food producers [2.3.2],,540.46
2020,Average income of small-scale food producers [2.3.2],,650.37
2010,Average income of small-scale food producers [2.3.2],Female,581.0
2011,Average income of small-scale food producers [2.3.2],Female,593.67
2012,Average income of small-scale food producers [2.3.2],Female,579.72
2014,Average income of small-scale food producers [2.3.2],Female,488.93
2016,Average income of small-scale food producers [2.3.2],Female,517.04
2020,Average income of small-scale food producers [2.3.2],Female,535.86
2010,Average income of small-scale food producers [2.3.2],Male,719.03
2011,Average income of small-scale food producers [2.3.2],Male,717.5
2012,Average income of small-scale food producers [2.3.2],Male,716.01
2014,Average income of small-scale food producers [2.3.2],Male,611.66
2016,Average income of small-scale food producers [2.3.2],Male,553.61
2020,Average income of small-scale food producers [2.3.2],Male,719.84
