Value,Disaggregation combinations using this value,Number of indicators
African Development Bank Group Annual Report 2019,36,2
"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",5,1
CHM / WESR ,2,1
Compiled by UNECA African Centre for Statistics and UN Women,2,1
DAD-IS 21.11.2022 http://www.fao.org/dad-is/,2,1
DAD-IS 28.11.2022 http://www.fao.org/dad-is/,2,1
"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",4,1
Data gathered as a result of a survey,2,1
Data gathered from the latest version of NBSAP,3,1
"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",2,1
Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,21,1
Environment Live,4,1
Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,36,1
FAO calculation based on WB national account data,2,1
FAO estimate based on FAOSTAT data from 2019,3,1
"FAO, Global Forest Resources Assessment and FAOSTAT",1,1
"FAO, Global Forest Resources Assessment",3,2
FAO-WIEWS (http://www.fao.org/wiews),5,1
Food and Agriculture Organization of the United Nations (FAO),48,1
Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,3,1
Global Surface Water Explorer extraction for UN Environment Programme,20,1
https://absch.cbd.int/countries,1,1
"https://www.cbd.int/abs/nagoya-protocol/signatories/default.shtml, Access and Benefit-sharing Clearing-house https://absch.cbd.int/, http://www.fao.org/plant-treaty/countries/membership/en/,  The Online Reporting System on Compliance of the International ",1,1
ICAO,3,1
IFC 2021 Annual Report Volume 2,40,2
IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,16,1
IHR National Self-Assessment and reports received and registered at WHO e-SPAR database (https://extranet.who.int/e-spar/ ).,42,1
IMF Annual Report 2021,40,2
"Inter-Parliamentary Union (IPU), Parline Database",7,1
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",40,2
"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",1,1
"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",1,1
"International Monetary Fund, Financial Soundness Indicators.",1,1
"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",2,1
"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",2,1
"International Monetary Fund, International Financial Statistics and data files.",4,1
"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1,1
ITPGRFA Secretariat ,3,1
NA,7,2
