Value,Disaggregation combinations using this value,Number of indicators
"Adhoc Collection of National Criminal Justice Data as collected in 2013 by UNODC, referred to as UNODC Special Data Collection",2,1
African Development Bank Group Annual Report 2000,4,2
African Development Bank Group Annual Report 2005,4,2
African Development Bank Group Annual Report 2010,4,2
African Development Bank Group Annual Report 2014,4,2
African Development Bank Group Annual Report 2015,4,2
African Development Bank Group Annual Report 2016,4,2
African Development Bank Group Annual Report 2017,4,2
African Development Bank Group Annual Report 2018,4,2
African Development Bank Group Annual Report 2019,4,2
"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",5,1
Celtel.,1,1
CHM / WESR ,2,1
Compiled by UNECA African Centre for Statistics and UN Women,2,1
DAD-IS 21.11.2022 http://www.fao.org/dad-is/,2,1
DAD-IS 28.11.2022 http://www.fao.org/dad-is/,2,1
"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",6,2
Data from FAOSTAT extracted 20220110,2,1
Data gathered as a result of a survey,2,1
Data gathered from the latest version of NBSAP,2,1
"Data gathered through a literature search (primary sources ECOLEX, FAOLEX) and consultation with country experts",1,1
"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",1,1
"DHS 2006. UNFPA Global Database, 2022.",4,1
"DHS 2011. UNFPA Global Database, 2022.",4,1
"DHS 2016. UNFPA Global Database, 2022.",4,1
Education Abstract 2016 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2016.pdf); Data extracted on 01 April 2022.,6,1
Education Abstract 2017 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2017.pdf); Data extracted on 01 April 2022.,3,1
Education Statistical Abstract 2010 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2010.pdf); Data extracted on 01 April 2022.,3,1
Education Statistical Abstract 2012 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2012.pdf); Data extracted on 01 April 2022.,6,1
Education Statistical Abstract 2013 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2013.pdf); Data extracted on 01 April 2022.,6,1
Education Statistical Abstract 2014 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2014.pdf); Data extracted on 01 April 2022.,6,1
Education Statistical Abstract 2015 (http://www.education.go.ug/wp-content/uploads/2019/08/Abstract-2015.pdf); Data extracted on 01 April 2022.,6,1
Environment Live,4,1
Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,6,1
FAO calculation based on UNSD national account estimates,1,1
FAO calculation based on WB national account data,1,1
FAO estimate based on FAOSTAT data from 2019,1,1
"FAO, Global Forest Resources Assessment and FAOSTAT",1,1
"FAO, Global Forest Resources Assessment",3,2
FAO Questionnaire. UNSD national account estimates.,1,1
FAO Questionnaire.,1,1
FAO-WIEWS (http://www.fao.org/wiews),5,1
FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,1,1
Food and Agriculture Organization of the United Nations (FAO),48,1
Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,3,1
Global Corruption Barometer,1,1
Global Surface Water Explorer extraction for UN Environment Programme,20,1
HIES - National Household Survey,2,1
https://absch.cbd.int/countries,1,1
"https://www.cbd.int/abs/nagoya-protocol/signatories/default.shtml, Access and Benefit-sharing Clearing-house https://absch.cbd.int/, http://www.fao.org/plant-treaty/countries/membership/en/,  The Online Reporting System on Compliance of the International ",1,1
ICAO,3,1
IFC 2000 Annual Report Volume 2,4,2
IFC 2005 Annual Report Volume 2,4,2
IFC 2010 Annual Report Volume 2,4,2
IFC 2015 Annual Report Volume 2,4,2
IFC 2016 Annual Report Volume 2,4,2
IFC 2017 Annual Report Volume 2,4,2
IFC 2018 Annual Report Volume 2,4,2
IFC 2019 Annual Report Volume 2,4,2
IFC 2020 Annual Report Volume 2,4,2
IFC 2021 Annual Report Volume 2,4,2
IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,16,1
IHR National Self-Assessment and reports received and registered at WHO e-SPAR database (https://extranet.who.int/e-spar/ ).,42,1
IMF Annual Report 2000,4,2
IMF Annual Report 2005,4,2
IMF Annual Report 2010,4,2
IMF Annual Report 2015,4,2
IMF Annual Report 2016,4,2
IMF Annual Report 2017,4,2
IMF Annual Report 2018,4,2
IMF Annual Report 2019,4,2
IMF Annual Report 2020,4,2
IMF Annual Report 2021,4,2
IMF; Data extracted on 01 April 2022.,1,1
IMF data. UNSD national account estimates,2,1
IMF data.,2,1
"Inter-Parliamentary Union (IPU), Parline Database",3,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",2,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed Jan 1 of given year for annual data.",1,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.",1,1
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2018",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2019 ",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2020",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",4,2
"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",1,1
"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",1,1
"International Monetary Fund, Financial Soundness Indicators.",1,1
"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",2,1
"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",2,1
"International Monetary Fund, International Financial Statistics and data files.",4,1
"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1,1
ITPGRFA Secretariat ,3,1
ITU estimate,1,1
ITU estimate.,3,3
LFS - National Labour Force Survey,5,1
NA,6,1
National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),6,1
National Entity,24,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance Data extracted on 01 April 2022.,2,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advance,6,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advanced Level Data extracted on 01 April 2022.,2,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 3; Minimum proficiency level: Advanced Level,6,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level Data extracted on 01 April 2022.,2,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 6; Minimum proficiency level: Adequate level,6,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level Data extracted on 01 April 2022.,2,1
National Learning Assessment (NLA): National Assessment of Progress in Education (NAPE); Grade 9; Minimum proficiency level: Adequate level,6,1
National Police,2,1
National Statistical Office,3,1
"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",1,1
PC - Population Census,1,1
"Poverty and Inequality Portal, World Bank",10,1
Ramsar National Report COP14,1,1
Report of the Economic and Social Council for 2015 (A/70/3),4,2
Report of the Economic and Social Council on its 2016 Session (A/71/3),4,2
Report of the Economic and Social Council on its 2017 Session (A/72/3),4,2
Report of the Security Council (A/65/2),4,2
Source: HIES - National Household Survey,18,2
Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),8,1
"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",18,1
"Source: Joint Child Malnutrition Estimates (2021 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",41,1
Source: LFS - National Labour Force Survey,36,2
the International Transport Forum at the OECD (ITF-OECD),5,1
The Uganda National Panel Survey (UNPS) 2009/10,2,1
The Uganda National Panel Survey (UNPS) 2013/14,2,1
The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report,4,2
UCC.,3,1
