Year,NATURE,SOURCE_DETAIL,Age,Source details,Value
2002,CA,Uganda 2006 Demographic and Health Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,5.2
2003,CA,Uganda 2016 Demographic and Health Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,13.9
2004,CA,Uganda 2006 Demographic and Health Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,2.4
2005,CA,Uganda 2006 Demographic and Health Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,1.8
2006,CA,Uganda 2016 Demographic and Health Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,10.0
2007,CA,Uganda 2009 Malaria Indicators Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,1.2
2008,CA,Uganda 2009 Malaria Indicators Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,0.8
2009,CA,Uganda 2011 Demographic and Health Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,2.6
2010,CA,Uganda 2011 Demographic and Health Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,1.2
2012,CA,Uganda 2014-2015 Malaria Indicators Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,2.6
2013,CA,Uganda 2014-2015 Malaria Indicators Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,0.6
2014,CA,Uganda 2016 Demographic and Health Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,2.4
2015,CA,Uganda 2016 Demographic and Health Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,2.0
2016,CA,Uganda 2018-2019 Malaria Indicators Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,2.3
2017,CA,Uganda 2018-2019 Malaria Indicators Survey,10 to 14 years old,Uganda 2018-2019 Malaria Indicators Survey,1.1
2003,CA,Uganda 2016 Demographic and Health Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,162.5
2004,C,Uganda 2006 Demographic and Health Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,159.0
2005,C,Uganda 2006 Demographic and Health Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,152.2
2006,CA,Uganda 2016 Demographic and Health Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,159.7
2007,CA,Uganda 2009 Malaria Indicators Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,160.6
2008,C,Uganda 2009 Malaria Indicators Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,151.4
2009,C,Uganda 2011 Demographic and Health Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,146.0
2010,C,Uganda 2011 Demographic and Health Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,134.5
2012,CA,Uganda 2014-2015 Malaria Indicators Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,143.7
2013,C,Uganda 2014 PMA Round 1,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,141.4
2014,CA,Uganda 2016 Demographic and Health Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,133.8
2015,C,Uganda 2016 Demographic and Health Survey (DHS),15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,131.5
2016,CA,Uganda 2018-2019 Malaria Indicators Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,113.5
2017,C,Uganda 2018-2019 Malaria Indicators Survey,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,111.4
2018,CA,Uganda 2019 PMA2020 Round 6 Follow-up,15 to 19 years old,Uganda 2019 PMA2020 Round 6 Follow-up,127.9
