Year,SDG Series,Unit of measure,Value
2000,Neonatal mortality rate [3.2.2],"Per 1,000 live births",32.3
2001,Neonatal mortality rate [3.2.2],"Per 1,000 live births",31.4
2002,Neonatal mortality rate [3.2.2],"Per 1,000 live births",30.5
2003,Neonatal mortality rate [3.2.2],"Per 1,000 live births",29.5
2004,Neonatal mortality rate [3.2.2],"Per 1,000 live births",28.7
2005,Neonatal mortality rate [3.2.2],"Per 1,000 live births",27.9
2006,Neonatal mortality rate [3.2.2],"Per 1,000 live births",27.3
2007,Neonatal mortality rate [3.2.2],"Per 1,000 live births",26.7
2008,Neonatal mortality rate [3.2.2],"Per 1,000 live births",26.1
2009,Neonatal mortality rate [3.2.2],"Per 1,000 live births",25.5
2010,Neonatal mortality rate [3.2.2],"Per 1,000 live births",25.0
2011,Neonatal mortality rate [3.2.2],"Per 1,000 live births",24.5
2012,Neonatal mortality rate [3.2.2],"Per 1,000 live births",24.0
2013,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.4
2014,Neonatal mortality rate [3.2.2],"Per 1,000 live births",22.7
2015,Neonatal mortality rate [3.2.2],"Per 1,000 live births",22.1
2016,Neonatal mortality rate [3.2.2],"Per 1,000 live births",21.5
2017,Neonatal mortality rate [3.2.2],"Per 1,000 live births",20.8
2018,Neonatal mortality rate [3.2.2],"Per 1,000 live births",20.3
2019,Neonatal mortality rate [3.2.2],"Per 1,000 live births",19.8
2020,Neonatal mortality rate [3.2.2],"Per 1,000 live births",19.2
2000,Neonatal deaths (number) [3.2.2],Number,37259.0
2001,Neonatal deaths (number) [3.2.2],Number,37146.0
2002,Neonatal deaths (number) [3.2.2],Number,36941.0
2003,Neonatal deaths (number) [3.2.2],Number,36723.0
2004,Neonatal deaths (number) [3.2.2],Number,36595.0
2005,Neonatal deaths (number) [3.2.2],Number,36500.0
2006,Neonatal deaths (number) [3.2.2],Number,36541.0
2007,Neonatal deaths (number) [3.2.2],Number,36516.0
2008,Neonatal deaths (number) [3.2.2],Number,36485.0
2009,Neonatal deaths (number) [3.2.2],Number,36407.0
2010,Neonatal deaths (number) [3.2.2],Number,36351.0
2011,Neonatal deaths (number) [3.2.2],Number,36257.0
2012,Neonatal deaths (number) [3.2.2],Number,36002.0
2013,Neonatal deaths (number) [3.2.2],Number,35616.0
2014,Neonatal deaths (number) [3.2.2],Number,35118.0
2015,Neonatal deaths (number) [3.2.2],Number,34568.0
2016,Neonatal deaths (number) [3.2.2],Number,34010.0
2017,Neonatal deaths (number) [3.2.2],Number,33460.0
2018,Neonatal deaths (number) [3.2.2],Number,33000.0
2019,Neonatal deaths (number) [3.2.2],Number,32554.0
2020,Neonatal deaths (number) [3.2.2],Number,32098.0
